"","x"
"21","@KapikHusky Thomas Kremer hat sich dazu geäußert http://t.co/zLgO9sFM2y ^lr"
"22","@CarpeTempus_ Wir möchten die Daten unserer Kunden schützen und verantwortungsvoll handeln. Mehr dazu: http://t.co/zLgO9sFM2y ^lr"
"23","@franke_v Nummern können im persönlichen Kundencenter gesperrt werden http://t.co/BJjqmP4nC8 @Telekom_hilft kann hier helfen. ^lr"
"24","@LetsPlayEgamer Wir sind auch froh, das wir unsere Kollegen von @Telekom_hilft haben! ^lr"
"25","@mysuYin Soll @Telekom_hilft mal nachsehen, ob vor Ort noch mehr möglich ist? Sonnst auch gerne unter http://t.co/Cr6govGDur nachgucken. ^lr"
"26","@twentyonecaats Was ist genau los? Soll @Telekom_hilft mal gucken was noch raus zu holen ist?"
"27","@HRFortmann Bereits unter http://t.co/Cr6govGDur nachgesehen? Sonst kann @Telekom_hilft auch mal gucken. ^lr"
"28","@NorbertGronau Das sollte sich @Telekom_hilft ansehen und meldet sich. ^lr"
"29","@keinvogel2 Thomas Kremer hat sich zu diesem Thema geäußert http://t.co/zLgO9sFM2y ^lr"
"30","@akjev Unser Team von @Telekom_hilft sollte hier vielleicht noch mal ran. Die Kollegen melden sich. ^lr"
"31","@HelgeBruhn Kann @Telekom_hilft hier vielleicht noch etwas ändern? ^lr"
"32","@anjacatwomen Da sollte @Telekom_hilft einspringen und gucken wie sie helfen können, damit alles läuft. ^lr"
"33","@nicolakuhrt Am besten direkt das Team von @DasTelefonbuch dazu fragen. ^lr"
"34","@MOversohl Dem Blind Date noch mal eine Chance geben und vielleicht wird es eine erfüllte Beziehung. @Telekom-hilft unterstützt auch. ^lr"
"35","@nicolakuhrt DeTeMedien ist eine Tochter. Bei der Gestaltung dieser Inhalte ist sie frei und wir nehmen keinen Einfluss. ^lr"
"36","@ThrDanielDude Da springt @Telekom_hilft ein, damit es kein Dauerzustand wird. Die Kollegen melden sich. ^lr"
"37","@Coldy003 Das bedeutet wirklich noch ein wenig Geduld haben. Bereits mit @Telekom_hilft gesprochen? ^lr"
"38","@ChristianUrban Bereits auf http://t.co/Cr6govGDur nachgesehen, ob ein Ausbau geplant ist? Sonst kann @Telekom_hilft noch mal gucken. ^lr"
"39","@nicolakuhrt Verantwortlich für die Inhalte ist das @DasTelefonbuch von DeTeMedien. ^lr"
"40","Deutschlands größte Mobile Payment Initiative ist gestartet: #NFC City #Berlin. Mit dabei #MyWallet der #Telekom ^lr https://t.co/qUVmBRi7xw"
"41","Thomas Kremer, #Telekom Vorstand Datenschutz, Recht u. Compliance, äußert sich zur #Vorratsdatenspeicherung #VDS http://t.co/zLgO9sFM2y ^lr"
"42","@autlaender wir würden uns freuen. Unser Team von @Telekom_hilft ist bereits eingestiegen, wie ich sehe. ^lr"
"43","@DarKReloader Gerne! Sollte noch mal etwas sein, kann @Telekom_hilft unterstützen. ^lr"
"44","@DarKReloader Dann sollte sich @Telekom_hilft das zügig ansehen, damit es nicht so bleibt. ^lr"
"45","@MertensM_72 Mit dem MyWallet Sticker ist es auch mit dem iPhone möglich http://t.co/D8Aj8B0dqu ^lr"
"46","@McKorsaH Apple unterstützt dort ihr eigenes System. ^lr"
"47","@BeckerBenedikt hier gibt es das Interview mit Tim Höttges zu den wichtigsten Punkten http://t.co/tW1sUOr06s ^lr"
"48","@DENIMyt Da sollte sich unser Team von @Telekom_hilft mal melden, damit es kein Dauerzustand bleibt. ^lr"
"49","@eisybo Wirklich nicht schön. @Telekom_hilft ist schon dran und löst es hoffentlich schnell. ^lr"
"50","@ItzFinn_ So sollte es nicht laufen. Soll sich @Telekom_hilft dem ganzen noch mal annehmen und Klarheit reinbringen? ^lr"
"51","@BeckerBenedikt Die Bilanz PK war am 26.2. Hier gibt es alle Infos dazu http://t.co/DD6DCpHn8q ^lr"
"52","@0x70766f Sollte die Pause zu lange dauern und die Sehnsucht nach Online groß, kann @Telekom_hilft gucken wie sie unterstützen können. ^lr"
"53","Startschuss der #NFC-City #Berlin mit #MyWallet - die Mobile Payment Lösung der #Telekom http://t.co/FHJaQmBEyI ^lr https://t.co/oCOXb9yzUT"
"54","@lukros98 Da sollte @Telekom_hilft schnell einspringen. Die Kollegen können auch hier helfen. ^lr"
"55","@Boren_Meister An dieser Stelle hilft gerne auch @Telekom_hilft weiter und melden sich. ^lr"
"56","@nikolett86 Wenn heute nichts passiert, bitte auf die Kollegen von @Telekom_hilft zugehen. Die können noch mal nachsehen. ^lr"
"57","@MsOperations Hier sollte @Telekom_hilft noch mal ran und nachsehen, wo es hängt. ^lr"
"58","@Nesalia87 Da kann @Telekom_hilft weiter helfen und meldet sich. ^lr"
"59","@Sarkasmus_Brian Das sollte sich @Telekom_hilft noch mal ansehen und meldet sich. ^lr"
"60","Alles steht auf dem Prüfstand–5 Punkte entscheiden über erfolgreiche #Industrie40. #TSystems-Chef erklärt warum #HM15 http://t.co/p0zIzPZNTg"
"61","@Paulaner98 Als Alternative hier auf @Telekom_hilft zu gehen. ^lr"
"62","@ElvisLamoureux Danke und viel Spaß mit dem Anschluss! ^lr"
"63","@DMauzZ Alles wieder in Ordnung? Ansonsten kann hier @Telekom_hilft einspringen. ^lr"
"64","@felixtode Sollte es Probleme geben, kann @Telekom_hilft es sich mal ansehen. ^lr"
"65","„Daten werden das Öl des 21. Jh.“ #Telekom-Chef Tim Höttges im Interview zur #Digitalisierung. http://t.co/Fu390VWRij ^lr via @miDieMacher"
"66","@aufgeteet Sollte es noch mal etwas geben, am besten direkt @Telekom_hilft anschreiben. Die Kollegen helfen gerne weiter. ^lr"
"67","@hundehausen Den aktuellen Stand gibt es unter http://t.co/Cr6govGDur ^lr"
"68","@SBSBattlefield Sollte es noch mal Komplikationen geben, am besten direkt auf @Telekom_hilft zugehen. ^lr"
"69","@berni_wob Ressourcen können umweltschonend wiederverwertet werden und die Abfallmenge gesenkt werden. Daher nicht in den Müll werfen. ^lr"
"70","@Charlotte_231_ Ich hoffe jetzt funktioniert alles. Am besten direkt auf @Telekom_hilft zugehen, die Kollegen helfen schnell. ^lr"
"71","Blog.#Telekom: Grassroot #eHealth – Revolution von unten? #tlounge am 21.4 @MaikBeermann @MMueschenich @arztraum http://t.co/D81VBL4bB3 ^lr"
"72","@lithmaGe_ Das sollte sich @Telekom_hilft doch mal ansehen. Die Kollegen melden sich. ^lr"
"73","@IT_Unke Danke, das hören wir immer gerne! Zusammen mit @Telekom_hilft geben wir unser Bestes. ^lr"
"74","@SBSBattlefield Kann unser Kundenservice @Telekom_hilft noch helfen? ^lr"
"75","@aufgeteet Hat die Freischaltung geklappt? Sonst hilft hier @telekom_hilft weiter. ^lr"
"76","100 Millionen Althandys liegen ungenutzt in deutschen Haushalten herum #ZahlDerWoche ^mk @BITKOM http://t.co/G3VgFwb2RO"
"77","@swpompey thanks for letting us know - highly appreciated. Our service-team @Telekom_hilft will take care of this and contact you . ^mk"
"78","Samsung Galaxy S6 Edge im Biegetest #bendgate #GalaxyS6Edge http://t.co/LpEJvzYRam ^mk via @connect_de"
"79","@SvenskaLP Glückwunsch! :) Falls noch Fragen offen sind, hilft @TelekomKarriere gerne weiter. ^mk"
"80","@JasGabrielle unser Service-Team @Telekom_hilft kann gerne unterstützen, dass das Internet wieder ans laufen kommt und meldet sich. ^mk"
"81","@YoureDrunk69 @Dadgess am besten schaut @Telekom_hilft was wir da machen können und meldet sich. ^mk"
"82","„Ich habe #Facebook angezeigt!“ @maxschrems exklusiv im #Interview: http://t.co/DhI5owhwZs // http://t.co/tSPRmxszq4 #FBclaim #Telekom ^mk"
"83","@PhilmannLive schon in Kontakt mit @Telekom_hilft? Die Kollegen können unterstützen. ^mk"
"84","@therealbonkic unser Service-Team @Telekom_hilft kann gerne unterstützen und schauen wo's hakt. Die Kollegen melden sich. ^mk"
"85","@EpOxY_HaZe was ist passiert? Vielleicht kann @Telekom_hilft unterstützen. ^mk"
"86","@DerTopsi hier kann @Telekom_hilft gerne schauen wo's hakt und meldet sich. ^mk"
"87","""Gesundheit bei #digitalisierung 10 Jahre hinter Autoindustrie"" - #Telekom stellt Lösungen zur @conhIT vor http://t.co/ZauxkRplxf ^mk"
"88","@AlinaKlaas können wir auch nicht genau sagen. Bitte noch etwas Geduld haben :) ^mk"
"89","@Pippilotta3 sorry to hear - our service-team @Telekom_hilft can support and arrange a new appointment. ^mk"
"90","@hypeenforcement die Seite wird regelmäßig aktualisiert. Sonst auch mal die eigene Gemeinde ansprechen und Bedarf am Ausbau anmelden. ^mk"
"91","@AlinaKlaas @23RE63 Gute Nachrichten: das Update ist freigegeben und wird nun sukzessive ausgerollt. ^mk"
"92","@abudhabitravel_ was genau ist passiert? @Telekom_hilft kann sicher weiterhelfen. ^mk"
"93","@Marsha_ am Ausbau sind die Kollegen dran und arbeiten fleißig. Hier kann der aktuelle Stand mitverfolgt werden: http://t.co/Cr6govGDur ^mk"
"94","@hypeenforcement zum Ausbaustatus geht's hier lang http://t.co/Cr6govGDur ^mk"
"95","@Utesgui unser Service-Team @Telekom_hilft kann prüfen ob mehr machbar ist und meldet sich. ^mk"
"96","@familieberlin wieder alles im Lot mit dem Internet? Sonst kann @Telekom_hilft weiterhelfen - damit's mit der Blogger-Weltherrschaft klappt"
"97","@Horst724 unser Service-Team @Telekom_hilft kann gerne prüfen wo's hakt und meldet sich. ^mk"
"98","@weidner427 ist der Router rechtzeitig angekommen? Wenn nicht, kann @Telekom_hilft gerne schauen wo er bleibt. ^mk"
"99","@MMittermeier Online Manager App ermöglicht automatische Registrierung im WLAN. Anmeldung per SIM an ca2000 Orten http://t.co/m5NOOgIFjk ^mk"
"100","@M_Masuch unser Service-Team @Telekom_hilft steht bereit und hilft gerne weiter, wenn noch Bedarf ist. ^mk"
"101","@grond0r hoffe, der Konflikt wurde friedlich beigelegt. Schon unter http://t.co/Cr6govGDur nachgeschaut ob ein Ausbau geplant ist? ^mk"
"102","@karstenlucke da kann @Telekom_hilft Abhilfe schaffen und beraten. Die Kollegen melden sich. ^mk"
"103","@gil_burt0 our service-team @Telekom_hilft can check that and get back to you. ^mk"
"104","@JensB87 Vorfreude ist die schönste Freude :) Vielleicht kann unser Service-Team @Telekom_hilft hier weiterhelfen. ^mk"
"105","@deisterflieger läuft das Internet wieder wie gewohnt? Wenn nicht, kann @Telekom_hilft gerne schauen wo's hakt. ^mk"
"106","@xxlhonk was genau funzt denn nicht? Unser Service-Team @Telekom_hilft kann sich das gerne genauer anschauen und weiterhelfen. ^mk"
"107","@SchalkerJung vielleicht wäre ein anderer Tarif passender. @Telekom_hilft kann gerne beraten und meldet sich. ^mk"
"108","@FabianHart schon mit @Telekom_hilft Kontakt aufgenommen? Die Kollegen haben vielleicht einen Tipp auf Lager. ^mk"
"109","@MoritzWatchTube sollte natürlich nicht passieren. @Telekom_hilft kann gerne noch offene Fragen beantworten. ^mk"
"110","@Rob_Feldmann was ist denn passiert? Vielleicht kann @Telekom_hilft unterstützen. ^mk"
"111","@qaxwaha da kann @Telekom_hilft Abhilfe schaffen und beraten. Die Kollegen melden sich. ^mk"
"112","Wir wünschen Euch schöne #Ostern! ^mk http://t.co/541PNAGFTY"
"113","Rund 83 Millionen Kundenkontakte hat der Kundenservice der #Telekom im Jahr #ZahlDerWoche ^mk http://t.co/K80g15i6v4"
"114","@Jilfycious was ist denn los? Soll @Telekom_hilft sich das mal genauer anschauen? ^mk"
"115","@chris_daub unser Service-Team @Telekom_hilft gerne unterstützt, dass alles wieder wie gewohnt funktioniert. Die Kollegen melden sich. ^mk"
"116","#Telekom Medienpreis für Bildungsthemen: ab heute Beiträge einreichen http://t.co/WEpwknPLsM ^mk via @telekomstiftung http://t.co/E4bs9b4NGy"
"117","@inklandcom ... und @Telekom_hilft übernimmt und meldet sich. ^mk"
"118","@Nabertronic hat sich gestern alles geklärt? Sonst kann @Telekom_hilft gerne unterstützen. ^mk"
"119","@NotetYT unser Service-Team @Telekom_hilft kann gerne schauen was da los ist und meldet sich. ^mk"
"120","@23RE63 das Update kommt vorraussichtlich Ende April/Anfang Mai ^mk"
"121","@wagner_digital dieses Patent halten wir nicht mehr u ist schon seit 1999 öffentlich. Die Informationen sind also längst Allgemeinwissen ^mk"
"122","@mayers leider sind immer wieder gefälschte Rechnungen im Umlauf. Einfach ignorieren und löschen. ^mk"
"123","@NordeHD unser Service-Team @Telekom_hilft kann sich das gerne mal anschauen wo's hakt und meldet sich. ^mk"
"124","@derwildeknut wie bereits angeboten, kann @Telekom_hilft unterstützen. Die Kollegen melden sich. ^mk"
"125","@100tageoffline hi. Sorry, für die späte Antwort. Ich kümmere mich darum. Bitte hier http://t.co/JLZzfB411d die Kundendaten mitteilen. ^sn"
"126","Das #HTC One M9 ab sofort bei der #Telekom im Tarif Magenta Mobil L für 99,95 € http://t.co/SkfA8VUqht ^mk"
"127","@QuirlequastTV unsere Kollegen von @Telekom_hilft können gerne einen neuen Termin vereinbaren und melden sich. ^mk"
"128","@Der_Rick2705 mit dabei sind @borussia, @FCBayern, @HSV und ein weiteres Team. ^mk"
"129","#Telekom Cup 2015: Spektakulärer Auftakt zur @bundesliga_de - Saison am 12.7. http://t.co/BElFiwKo0L ^mk http://t.co/cgqy7RlSJd"
"130","@MrCr33pOr das sollte sich @Telekom_hilft mal genauer anschauen. Die Kollegen melden sich. ^mk"
"131","@halitep sure! Our service-team @Telekom_hilft can support you and will get back to you for further information. ^mk"
"132","@Alschnot was ist denn los? Vielleicht kann @Telekom_hilft unterstützen. Die Kollegen melden sich. ^mk"
"133","@climbingsailor schon mal an einen anderen Tarif gedacht? @Telekom_hilft kann gerne beraten und meldet sich. ^mk"
"134","@Lotte0279 da kann @Telekom_hilft weiterhelfen und meldet sich. ^mk"
"135","@DatNero rasch zurückstellen funktioniert leider nicht. Aber @Telekom_hilft kann gerne unterstützen und meldet sich. ^mk"
"136","44 Millionen Menschen in Deutschland nutzen ein #Smartphone! #ZahlDerWoche @BITKOM ^mk http://t.co/YyTWX14jAE"
"137","@GG_SSB9 da helfen unsere Kollegen von @Telekom_hilft gerne weiter und melden sich. ^mk"
"138","Blog.#Telekom: Die Wahrheit findet man auch auf Twitter nicht http://t.co/OHvxyV58uW #tlounge #Video ^mk"
"139","@elbsail bei Fragen zu unseren Tarifen, kann @Telekom_hilft gerne Auskunft geben. ^mk"
"140","@gernot_t DE-Mail hat die Akkreditierung erhalten, aber die Seite ist noch nicht entsprechend aktualisiert. ^mk"
"141","@TombiyTV unser Service-Team @Telekom_hilft unterstützt gerne und meldet sich. ^mk"
"142","@_B1acksheep vielleicht hat @Telekom_hilft was passenderes auf Lager und meldet sich. ^mk"
"143","@hundehausen alles zu unserer Strategie gibt es unter http://t.co/DFuDaZSLJI ^mk"
"144","@denkfluss Ja, schade. Technik hat uns gestern verlassen, auch bei der Livestream-Aufzeichnung. Nachher aber Bericht auf Blog.Telekom. ^lv"
"145","@TabeaRoessner @correctiv_org @marcelweiss Wir haben zu danken #tlounge ^lv"
"146","Das war die #tlounge Mediabubble. Danke an David Crawford @correctiv_org, @TabeaRoessner, @marcelweiss. Mehr morgen im Blog.#Telekom. ^lv"
"147","Blick in die #tlounge Mediabubble ^lv http://t.co/bB41YNW4Mf"
"148","Die Medien müssen sich Vertrauen verdienen/ erarbeiten David Crawford #tlounge ^lv"
"149","SoM Plattformbetreiber haben Verantwortung. Kommen der auch schon nach. Aber man kann nicht alles regulieren @TabeaRoessner #tlounge ^lv"
"150","Mediabubble gab es früher im Print mit vorgefertigter Meinung. Jetzt viel breitere Infomöglichkeiten übers Netz @marcelweiss #tlounge ^lv"
"151","Die Wahrheit findet man auch auf Twitter nicht @TabeaRoessner #tlounge ^lv"
"152","Regen wir uns über Netzwerke nicht über Dinge auf, ohne an den Kern der Sache zu gehen @TabeaRoessner #tlounge ^lv"
"153","Journalisten müssen Mehrwert bieten. Warum für etwas zahlen, was man sonst auch im Netz bekommt David Crawford @correctiv_org #tlounge ^lv"
"154","Herausforderung für die Gesellschaft: wem kann ich vertrauen? Marken und Institutionen geben Vertrauen @marcelweiss #tlounge ^lv"
"155","Leider funktioniert im Moment nur unser Ton im Stream, nicht das Bild. Sorry! #tlounge ^lv"
"156","Journalisten können Infos einbetten, wenn sie Zeit für Recherche haben. Schwierig in Zeiten des Internet @TabeaRoessner #tlounge ^lv"
"157","Es hat sich nicht viel geändert. Journalisten müssen Mehrwert bieten durch Prüfen von Fakten. Crawford @correctiv_org #tlounge"
"158","#tlounge zur Mediabubble geht los http://t.co/IyBpVLaHkV mit David Crawford (@correctiv_org), @TabeaRoessner, @marcelweiss ^lv"
"159","Gleich starten wir in die #tlounge Thema: Mediabubble – Wahrheit im Netz http://t.co/IyBpVLaHkV Für Nicht-Berliner mit Live-Stream ^lv"
"160","#TÜV Rheinland: Drittes Mal in Folge ""gut"" für #Telekom-Service http://t.co/0VK7uhELot ^ts http://t.co/beeBinIwD5"
"161","@0x70766f bei Fragen helfen auch unsere Kollegen von @Telekom_hilft gerne weiter und melden sich. ^mk"
"162","@GueMurr vergraulen wollen wir natürlich niemanden. @Telekom_hilft kann gerne ein Angebot machen und meldet sich. ^mk"
"163","@fnp_zeitung wir haben bereits geholfen und der Anschluss läuft wieder. Falls es noch Probleme geben sollte, unterstützt @Telekom_hilft ^mk"
"164","Initiative @ich_kann_was sucht Projekte für junge Menschen! Online bewerben bis 31.3. http://t.co/1qh99jWGip ^mk http://t.co/9ejDO7P6rx"
"165","@mondlichtsterne schon bei @Telekom_hilft nachgefragt? Die Kollegen können schauen woran's liegt. ^mk"
"166","@Cooky_Li was ist denn passiert? Vielleicht kann @Telekom_hilft weiterhelfen und meldet sich. ^mk"
"167","@andreaswo es gibt keine bezahlte Überholspur! Es liegt bei jedem Anbieter selbst, passende Netzzusammenschaltung zu vereinbaren. ^mk"
"168","@jpeach23 was ist denn passiert? @Telekom_hilft kann sicher weiterhelfen und meldet sich. ^mk"
"169","Blog.#Telekom: Was ist wahr am #varoufake? http://t.co/ROIFGYSTBh ^mk http://t.co/7W3woxIIqr"
"170","@pozzyostborn IP Telefonie der Telekom läuft über eigenes physisches Netz und nicht mit offenem Internet gleichzusetzen ist ^mk"
"171","@KapikHusky nicht Internettelefonie mit IP-Telefonie verwechseln. Telefonie läuft bei der Telekom über ein eigenes physisches Netz. ^mk"
"172","@MisterLetsPlay da kann @Telekom_hilft gerne nachschauen was da los ist und meldet sich. ^mk"
"173","@Zoulhh unser Service-Team @Telekom_hilft hat bereits Hilfe angeboten http://t.co/yOr1VIJnwg ^mk"
"174","@leondroidgeeks bei Bedarf kann @Telekom_hilft gerne nochmal beraten. Einfach die Kollegen anschreiben und sie melden sich. ^mk"
"175","@Jumper10100 unser Service-Team @Telekom_hilft kann sich das mal genauer anschauen und meldet sich. ^mk"
"176","@homiedoc schon bei @Telekom_hilft nachgefragt? Die Kollegen können schauen was da los ist und melden sich. ^mk"
"177","@Desmetsch hoffentlich bald mit guten Nachrichten bezüglich Ausbau :) ^mk"
"178","@agaw maybe @Telekom_hilft can support and will contact you. ^mk"
"179","@CoenenHerbert das sollte sich @Telekom_hilft mal genauer anschauen und meldet sich. ^mk"
"180","@simon_tr_ da kann @Telekom_hilft sicher aufklären, wo die Bestellung hakt und meldet sich. ^mk"
"181","Neue Funktionen für den #tolino: Lesen im Querformat, vereinfachte Kapitelnavigation und mehr http://t.co/XzrrG7agyD #eBook #telekom ^mk"
"182","@JoeBeaulais sorry to hear. I'm sure our customer-service @Telekom_hilft can change your mind and get back to you. ^mk"
"183","@Desmetsch schon unter http://t.co/Cr6govGDur nachgeschaut? Dort gibt's den aktuellen Ausbaustatus. ^mk"
"184","@mtazmum unser Service-Team @Telekom_hilft kann gerne nochmal recherchieren und meldet sich. ^mk"
"185","@Tekin__D bei uns wird nicht gedrosselt. Wenn es noch Probleme mit dem Internet gibt, kann @Telekom_hilft gerne schauen, wo es hakt. ^mk"
"186","@David_W_Martin our customer-service @Telekom_hilft is happy to support and will contact you. ^mk"
"187","@wovvbagger da kann @Telekom_hilft sicher Abhilfe schaffen und meldet sich. ^mk"
"188","@VerenaMense unser Service-Team @Telekom_hilft kann sicher weiterhelfen und meldet sich. ^mk"
"189","@Atommoehre funktioniert wieder alles wie gewohnt? Sonst kann @Telekom_hilft sich das mal genauer anschauen. ^mk"
"190","506.000 Kunden konnte #Telekom bereits bis Ende 2014 für das neuen #MagentaEINS Angebot gewinnen #ZahlDerWoche ^mk http://t.co/pn3jW9Xcnb"
"191","@MisterWuff was ist denn passiert? Unsere Kollegen @Telekom_hilft können sicher unterstützen das Chaos zu beseitigen. ^mk"
"192","@zathera007 unser Service-Team @Telekom_hilft kann gerne unterstützen und meldet sich. ^mk"
"193","@balumator was ist denn passiert? Vielleicht kann @Telekom_hilft unterstützen. ^mk"
"194","@max_power84 es werden ausschließlich anonymisierte Daten genutzt u ist ausgerichtet an den Anforderungen der Bundesdatenschutz-Behörde. ^mk"
"195","Werden im Netz etwa Unwahrheiten verbreitet? http://t.co/IyBpVLaHkV #tlounge #varoufake ^lv"
"196","@servicehome unter http://t.co/JeblJr4VW4 schauen. Bei Fragen helfen unsere Kollegen von @Telekom_hilft gerne weiter. ^mk"
"197","@ehs_yt Das klingt gut. Wenn Beratungsbedarf besteht, steht @Telekom_hilft bereit. ^lr"
"198","@Zoulhh Dann sollte sich @Telekom_hilft ansehen und meldet sich. ^lr"
"199","@F0xCatcher Wie @Telekom_hilft bereits geschrieben hat, die Technik ist dran. ^lr"
"200","@xXPlayer2000 Sollte das nächste Mal etwas sein, am besten die Kollegen von @Telekom_hilft direkt anschreiben. ^lr"
"201","@martinkrafft Da kann @Telekom_hilft mal gucken, wie sie unterstützen können und melden sich zurück. ^lr"
"202","@AkikoMchan @Telekom_hilft prüft, was hier los ist und meldet sich. ^lr"
"203","@ferology our customer service @Telekom_hilft can help you and get in contact with you. ^lr"
"204","@LarsWienand Mein Kollege hat versucht sie zu erreichen und eine Mail mit seinen Kontaktdaten geschrieben. ^lr"
"205","@2smart4u Das ist gut und wünsche einen schönen Start in den Tag. ^lr"
"206","@RaphaelWiesweg Sieht nach einem Fall für @Telekom_hilft aus. Sie werden sich melden. ^lr"
"207","@Atommoehre Dann doch eher, dass die Leitung klappt und wir der beste Laden sind :) ^lr"
"208","@2smart4u Das Endgerät neu gestartet und dann immer noch Probleme? Dann sollte @Telekom_hilft sich das ansehen. ^lr"
"209","@frohfroh Wir bauen LTE entlang der Strecken weiter aus und Arbeiten an der leistungsstarken Versorgung der Züge mit HotSpot. ^lr"
"210","@CRYEXReloaded Da sollte doch mal @Telekom_hilft vorbei gucken. Die Kollegen melden sich. ^lr"
"211","@rolfkraemer Konnte @Telekom_hilft nicht helfen? Die Kollegen sollten es sich noch mal ansehen. ^lr"
"212","@Lutri_ Ist http://t.co/q9w2opSevG eine Alternative? ^lr"
"213","@s_motzer Es sind bis jetzt zwei getrennte Angebote. Wenn gewünscht kann @Telekom_hilft hier gerne beraten. ^lr"
"214","@publictorsten Der Kunde muss beim vereinfachten Login nur das Netzwerk auswählen und die AGBs bestätigen, dann kann er lossurfen. ^lr"
"215","@Winne__ Das beinhaltet diese Punkte auch. Hier gibts mehr Infos http://t.co/Gcbk7dzPQk ^lr"
"216","@karstenlucke Bereoits mit @Telekom_hilft gesprochen? Das Team kann mal gucken. ^lr"
"217","@o_w_ Das sollten sich die Kollegen von @Telekom_hilft ansehen. Sie melden sich direkt. ^lr"
"218","@NorbertGronau Das funktioniert auch im Inland. Ganz einfach in der Online Manager App der Telekom oder unter 7277. ^lr"
"219","@Der_Derwish Dies wäre im Ausbau deutlich teurer. ^lr"
"220","@krolli53 Zu dem Punkt einmal den Faktencheck lesen http://t.co/7nABovJ7Ze ^lr"
"221","@buntux Auch in Berlin werden wir weiter ausbauen. Dafür immer mal wieder bei http://t.co/Cr6govGDur nachsehen. ^lr"
"222","@confluencepoint Bereits auf http://t.co/Cr6govGDur nachgesehen, ob ein Ausbau geplant ist? ^lr"
"223","@mvbuentke Bereits auf http://t.co/Cr6govGDur nachgesehen ob ein Ausbau geplant ist? ^lr"
"224","@Philly_Blaze Im Mobilfunk sind 40 Mbit/s im Upload derzeit das höchste an Geschwindigkeit was in Dtld angeboten wird. ^lr"
"225","@JaNiK678 Das kann sich @Telekom_hilft noch mal ansehen. Vielleicht ist ja mehr drin. ^lr"
"226","@Radioman360 Das klingt gut. ^lr"
"227","@lukas2511 Das sollten sich unsere Kollegen von @Telekom_hilft ansehen und melden sich. ^lr"
"228","@saylor70 Da kann dann nur @Telekom_hilft weiter helfen. Die Kollegen können im System noch mal nachsehen. ^lr"
"229","@saylor70 Für den Ausbaustatus nicht. Auf http://t.co/JeblJr4VW4 gibt es die Verfügbarkeit am Anschluss. ^lr"
"230","@100tageoffline @Telekom_hilft kann mal gucken, ob sie noch unterstützen können. ^lr"
"231","@xGl00MY Leider nicht möglich. Aber immer mal wieder bei http://t.co/Cr6govGDur den Ausbaustatus prüfen. ^lr"
"232","@v2sun Schon mit @Telekom_hilft gesprochen? Die Kollegen können mal genauer prüfen. ^lr"
"233","@NickStudMuffin Gerade gesehen, das @Telekom_hilft bereits unterstützt. Da ist man in guten Händen. ^lr"
"234","@Atommoehre Danke, das hören wir doch immer gerne. ^lr"
"235","@energie1989 Ich kann nur gutes berichten. Gerne berät @Telekom_hilft an dieser Stelle weiter. ^lr"
