"","x"
"1","@MarcusSchuler Das tut uns sehr leid. Magst du uns dein Anliegen per DM näher erläutern? VG"
"2","@Pedro_gw Das tut uns sehr leid. Magst du uns per DM einmal deine Bestellnummer mitteilen? Wir möchten das gerne prüfen. VG"
"3","@okomuenster Das tut uns leid. Wir möchten deine Anfrage gern weiterleiten. Es wäre schön, wenn du uns hierzu per DM deine E-Mail mitteilst."
"4","@Bazzziiiii Vielen Dank für deine Bewerbung. Wir drücken dir ganz fest die Daumen! :)"
"5","@Philipp1055 Tut uns leid, dass du den Gutschein noch nicht erhalten hast. Magst du uns per DM deine E-Mail und das Gewinnspiel mitteilen?LG"
"6","@Schwanzhund Das tut uns sehr leid. Magst du uns per DM einmal den Markt und deine E-Mail mitteilen? Dann geben wir das gerne weiter. LG"
"7","@Bildrauschen Vielen Dank für den Hinweis. Magst du uns zur Weiterleitung einmal den Markt und deine E-Mail Adresse per DM schicken? LG"
"8","@zuckerwatterosa Das tut uns leid. Wo möchtest du diese denn gerne vorfinden? Dann prüfen wir das für dich. VG"
"9","@Thomas_Glaeser Wir freuen uns, dass du unser Bio-Gemüse so magst. Wir leiten dein Feedback bzgl. des Plastiks intern weiter. Vielen Dank."
"10","@michaelheinze56 wenn du uns hierfür per DM deine E-Mail Adresse schicken würdest. VG"
"11","@michaelheinze56 Gerne möchten wir dir das genauer erläutern. Bezieht sich deine Frage hierbei auf unseren Lieferservice? Es wäre super, ..."
"12","1 Jahr #PAYBACK bei #REWE! Das wird gefeiert. Alle Prämien und Überraschungen findet ihr hier: http://t.co/TdBA2DRCZW http://t.co/xocVskqHSt"
"13","@dwithadotn Das tut uns sehr leid. Gerne geben wir das weiter. Es wäre schön, wenn du uns hierzu deine E-Mail per DM schicken würdest. VG"
"14","@FeliciousBeatz bitte sende uns deine E-Mail und den betroffenen Markt per DM, wir leiten deine Frage dann gerne weiter."
"15","@froschmann1968 Gerne. wir freuen uns auf deine Bestellung. VG"
"16","@Sk4tz schau mal hier: https://t.co/MA9QDYomjR"
"17","Jetzt wird´s #scharf! Die #Chili-Schokoladen-Creme bringt Feuer in euer #Menü. http://t.co/XI42p5S3Gp #REWE #Rezept http://t.co/E8RHkcHi6c"
"18","@marfis75 Es sollte alles wieder laufen! Viele Grüße und ein schönes Wochenende, dein REWE Team."
"19","@frollein_zeh melden uns."
"20","@frollein_zeh betroffenen Bestellnummern &amp; die E-Mail Adresse, mit der du beim Lieferservice registriert bist. Wir prüfen den Vorgang &amp; ..."
"21","@frollein_zeh Nein, dass ist nicht normal und auch nicht unser Anspruch von Service und Qualität. Bitte sende uns doch per DM die ..."
